req,feature,aspect,status,file,test,bench,owner,updated
CBIN-%03d,Feature%d,API,IMPL,main_test.go,,,,2025-09-20
CBIN-%03d,Feature%d,API,IMPL,status_test.go,,,team,2025-10-15
CBIN-001,Normal,API,IMPL,internal/tools/canary/testdata/skipedges/normal.go,,,,2025-10-15
CBIN-001,StaleToken,API,TESTED,internal/acceptance_test.go,Test1,,,2024-01-01
CBIN-001,StaleToken,API,TESTED,internal/tools/canary/testdata/updatestale/test.go,Test1,,,2025-10-16
CBIN-002,FreshToken,CLI,TESTED,internal/acceptance_test.go,Test2,,,2025-10-15
CBIN-002,FreshToken,CLI,TESTED,internal/tools/canary/testdata/updatestale/test.go,,,,2025-10-15
CBIN-002,Subdir,CLI,IMPL,internal/tools/canary/testdata/skipedges/subdir/file.go,,,,2025-10-15
CBIN-003,Spaces,Engine,IMPL,internal/tools/canary/testdata/skipedges/file with spaces.go,,,,2025-10-15
CBIN-003,StaleImplNotUpdated,Engine,IMPL,internal/acceptance_test.go,,,,2024-01-01
CBIN-003,StaleImplNotUpdated,Engine,IMPL,internal/tools/canary/testdata/updatestale/test.go,,,,2024-01-01
CBIN-004,StaleBenchedToken,Storage,BENCHED,internal/acceptance_test.go,,Bench4,,2024-01-01
CBIN-004,StaleBenchedToken,Storage,BENCHED,internal/tools/canary/testdata/updatestale/test.go,,Bench4,,2025-10-16
CBIN-004,Unicode,Storage,IMPL,internal/tools/canary/testdata/skipedges/测试.go,,,,2025-10-15
CBIN-010,Foo,API,STUB,internal/tools/canary/testdata/summary/a.txt,,,,2025-09-20
CBIN-011,Bar,API,IMPL,internal/tools/canary/testdata/summary/b.txt,,,,2025-09-20
CBIN-042,X,API,STUB,internal/tools/canary/testdata/overclaim/t.txt,,,,2025-09-20
CBIN-051,Y,API,TESTED,internal/tools/canary/testdata/stale/t.txt,,,,2024-01-01
CBIN-099,Hidden,API,IMPL,internal/tools/canary/testdata/skipedges/.hidden,,,,2025-10-15
CBIN-101,Alpha,CLI,TESTED,internal/tools/canary/testdata/csvorder/a.txt,TestAlpha,,,2025-10-15
CBIN-101,ScannerCore,Engine,BENCHED,main.go,TestCANARY_CBIN_101_Engine_ScanBasic,BenchmarkCANARY_CBIN_101_Engine_Scan,canary,2025-10-15
CBIN-102,Bravo,API,BENCHED,internal/tools/canary/testdata/csvorder/b.txt,TestBravo,BenchBravo,,2025-10-15
CBIN-102,Charlie,CLI,IMPL,internal/tools/canary/testdata/csvorder/c.txt,,,,2025-10-15
CBIN-102,VerifyGate,CLI,BENCHED,verify.go,TestCANARY_CBIN_102_CLI_Verify,BenchmarkCANARY_CBIN_102_CLI_Verify,canary,2025-10-15
CBIN-103,StatusJSON,API,BENCHED,status.go,TestCANARY_CBIN_103_API_StatusSchema,BenchmarkCANARY_CBIN_103_API_Emit,canary,2025-10-15
CBIN-200,Alpha,API,STUB,main_test.go,,,,2025-09-20
CBIN-201,Bravo,CLI,IMPL,main_test.go,,,,2025-09-20
CBIN-202,Charlie,Engine,IMPL,main_test.go,,,,2025-09-20
CBIN-500,Mike,Engine,STUB,internal/tools/canary/testdata/csvorder/m.txt,,,,2025-10-15
CBIN-888,Present,API,TESTED,verify_test.go,TestFoo,,,2025-09-20
CBIN-999,Zulu,API,IMPL,internal/tools/canary/testdata/csvorder/z.txt,,,,2025-10-15
